apatch3,B-gata H-kei,7817,8
Apdo1,Darling in the FranXX,35849,8
Apdo1,Goblin Slayer,37349,8
Apdo1,B-gata H-kei,7817,8
Apdo1,Masamune-kun no Revenge,33487,7
Apdo1,Eromanga-sensei,32901,7
Archaeon,IS: Infinite Stratos,9041,6
Archaeon,Deadman Wonderland,6880,6
Archaeon,Guilty Crown,10793,6
ArchangelEST,Sword Art Online,11757,8
ArchangelEST,Sword Art Online II,21881,8
ArchangelEST,Rokka no Yuusha,28497,8
ArchangelEST,Koutetsujou no Kabaneri,28623,6
ArchangelEST,Mahouka Koukou no Rettousei,20785,8
ArchangelEST,Darling in the FranXX,35849,8
ArchangelEST,Highschool of the Dead,8074,7
ArchangelEST,Btooom!,14345,6
ArchangelEST,Kenja no Mago,36407,7
ArchangelEST,Death March kara Hajimaru Isekai Kyousoukyoku,34497,6
ArchangelEST,Isekai wa Smartphone to Tomo ni.,35203,7
Artrill,Koutetsujou no Kabaneri,28623,4
Artrill,Darling in the FranXX,35849,2
Artrill,Eromanga-sensei,32901,1
ashketch95,Black Bullet,20787,10
ashketch95,Aldnoah.Zero,22729,9
ashketch95,Sword Art Online,11757,5
Aslt,Darling in the FranXX,35849,2
Aslt,Goblin Slayer,37349,2
Aslt,Isekai wa Smartphone to Tomo ni.,35203,1
Asunakob,Accel World,11759,8
Asunakob,Death March kara Hajimaru Isekai Kyousoukyoku,34497,7
Asunakob,Masamune-kun no Revenge,33487,6
Ataraxia-9,Accel World,11759,6
Ataraxia-9,Btooom!,14345,10
Ataraxia-9,Guilty Crown,10793,7
Ayato-kun,Akame ga Kill!,22199,6
Ayato-kun,Re:Creators,34561,5
Ayato-kun,Eromanga-sensei,32901,4
AzirHeike,Sword Art Online II,21881,8
AzirHeike,Tokyo Ghoul √A,27899,9
AzirHeike,Black Bullet,20787,7
AzirHeike,Death March kara Hajimaru Isekai Kyousoukyoku,34497,6
b0sspenguin,Sword Art Online,11757,7
b0sspenguin,Guilty Crown,10793,10
b0sspenguin,Vampire Knight,3457,4
BabyGirl06301,Sword Art Online,11757,8
BabyGirl06301,Sword Art Online II,21881,8
BabyGirl06301,Tokyo Ghoul √A,27899,8
BabyGirl06301,Elfen Lied,226,9
BabyGirl06301,Fate/stay night,356,9
BabyGirl06301,K,14467,8
BabyGirl06301,Highschool of the Dead,8074,7
BabyGirl06301,Sword Art Online: Alicization,36474,10
Baddie007,K,14467,7
Baddie007,Btooom!,14345,7
Baddie007,Aldnoah.Zero,22729,3
BanjoTheBear,Aldnoah.Zero,22729,7
BanjoTheBear,Btooom!,14345,3
BanjoTheBear,Akame ga Kill!,22199,4
BanjoTheBear,Sword Art Online II,21881,7
BanjoTheBear,Absolute Duo,25397,2
BanjoTheBear,Tokyo Ghoul √A,27899,1
BanjoTheBear,Rokka no Yuusha,28497,8
BanjoTheBear,Rakudai Kishi no Cavalry,30296,8
BanjoTheBear,Koutetsujou no Kabaneri,28623,4
BanjoTheBear,Fate/Apocrypha,34662,5
BanjoTheBear,Himouto! Umaru-chan,28825,6
BanjoTheBear,Masamune-kun no Revenge,33487,4
BanjoTheBear,Eromanga-sensei,32901,3
BanjoTheBear,Kuzu no Honkai,32949,7
Battlemaster,Re:Creators,34561,10
